a	indefinite article	 
about	prep., adv.	 
above	prep., adv.	 
across	prep., adv.	 
action	n.	 
activity	n.	 
actor	n.	 
actress	n.	 
add	v.	 
address	n.	 
adult	n.	 
advice	n.	 
afraid	adj.	 
after	prep.	 
afternoon	n.	 
again	adv.	 
age	n.	 
ago	adv.	 
agree	v.	 
air	n.	 
airport	n.	 
all	det., pron.	 
also	adv.	 
always	adv.	 
amazing	adj.	 
and	conj.	 
angry	adj.	 
animal	n.	 
another	det./pron.	 
answer	n., v.	 
any	det., pron.	 
anyone	pron.	 
anything	pron.	 
apartment	n.	 
apple	n.	 
April	n.	 
area	n.	 
arm	n.	 
around	prep., adv.	 
arrive	v.	 
art	n.	 
article	n.	 
artist	n.	 
as	prep.	 
ask	v.	 
at	prep.	 
August	n.	 
aunt	n.	 
autumn	n.	 
away	adv.	 
baby	n.	 
back	n., adv.	 
bad	adj.	 
bag	n.	 
ball	n.	 
banana	n.	 
band	n.	 
bank	(money) n.	 
bath	n.	 
bathroom	n.	 
be	v., auxiliary v.	 
beach	n.	 
beautiful	adj.	 
because	conj.	 
become	v.	 
bed	n.	 
bedroom	n.	 
beer	n.	 
before	prep.	 
begin	v.	 
beginning	n.	 
behind	prep., adv.	 
believe	v.	 
below	adv., prep.	 
best	adj.	 
better	adj.	 
between	prep.	 
bicycle	n.	 
big	adj.	 
bike	n.	 
bill	n.	 
bird	n.	 
birthday	n.	 
black	adj., n.	 
blog	n.	 
blonde	adj.	 
blue	adj., n.	 
boat	n.	 
body	n.	 
book	n.	 
boot	n.	 
bored	adj.	 
boring	adj.	 
born	v.	 
both	det./pron.	 
bottle	n.	 
box	n.	 
boy	n.	 
boyfriend	n.	 
bread	n.	 
break	v., n.	 
breakfast	n.	 
bring	v.	 
brother	n.	 
brown	adj., n.	 
build	v.	 
building	n.	 
bus	n.	 
business	n.	 
busy	adj.	 
but	conj.	 
butter	n.	 
buy	v.	 
by	prep.	 
bye	exclam.	 
cafe	n.	 
cake	n.	 
call	v., n.	 
camera	n.	 
can	modal v.	 
cannot	modal v.	 
capital	n., adj.	 
car	n.	 
card	n.	 
career	n.	 
carrot	n.	 
carry	v.	 
cat	n.	 
CD	n.	 
cent	n.	 
centre	n.	 
century	n.	 
chair	n.	 
change	v., n.	 
chart	n.	 
cheap	adj.	 
check	v.	 
cheese	n.	 
chicken	n.	 
child	n.	 
chocolate	n.	 
choose	v.	 
cinema	n.	 
city	n.	 
class	n.	 
classroom	n.	 
clean	adj., v.	 
climb	v.	 
clock	n.	 
close	v.	 
clothes	n.	 
club	n.	 
coat	n.	 
coffee	n.	 
cold	adj., n.	 
college	n.	 
colour	n.	 
come	v.	 
common	adj.	 
company	n.	 
compare	v.	 
complete	adj., v.	 
computer	n.	 
concert	n.	 
conversation	n.	 
cook	v.	 
cooking	n.	 
cool	adj.	 
correct	adj., v.	 
cost	n., v.	 
could	modal v.	 
country	n.	 
course	n.	 
cousin	n.	 
cow	n.	 
cream	n.	 
create	v.	 
culture	n.	 
cup	n.	 
customer	n.	 
cut	v.	 
dad	n.	 
dance	n., v.	 
dancer	n.	 
dancing	n.	 
dangerous	adj.	 
dark	adj.	 
date	n.	 
daughter	n.	 
day	n.	 
dear	adj.	 
December	n.	 
decide	v.	 
delicious	adj.	 
describe	v.	 
description	n.	 
design	n., v.	 
desk	n.	 
detail	n.	 
dialogue	n.	 
dictionary	n.	 
die	v.	 
diet	n.	 
difference	n.	 
different	adj.	 
difficult	adj.	 
dinner	n.	 
dirty	adj.	 
discuss	v.	 
